city,city_targeting_tag,cluster_name,cluster_targeting_tag
abad kuliadanga,CITY_ABAD_KULIADANGA,Kolkata,CLUSTER_KOL
adavale budruk,CITY_ADAVALE_BUDRUK,Mumbai,CLUSTER_MUM
adraspalli,CITY_ADRASPALLI,Hyderabad,CLUSTER_HYD
agapalli,CITY_AGAPALLI,Hyderabad,CLUSTER_HYD
akanda danga,CITY_AKANDA_DANGA,Kolkata,CLUSTER_KOL
alandi,CITY_ALANDI,Pune,CLUSTER_PUN
alandur,CITY_ALANDUR,Chennai,CLUSTER_CHE
amtem,CITY_AMTEM,Mumbai,CLUSTER_MUM
annaram,CITY_ANNARAM,Hyderabad,CLUSTER_HYD
apta,CITY_APTA,Mumbai,CLUSTER_MUM
bagalur,CITY_BAGALUR,Bangalore,CLUSTER_BEN
baghpat,CITY_BAGHPAT,Delhi NCR,CLUSTER_NCR
bagnan,CITY_BAGNAN,Kolkata,CLUSTER_KOL
bahadurgarh,CITY_BAHADURGARH,Delhi NCR,CLUSTER_NCR
baidyabati,CITY_BAIDYABATI,Kolkata,CLUSTER_KOL
bally,CITY_BALLY,Kolkata,CLUSTER_KOL
bangalore,CITY_BANGALORE,Bangalore,CLUSTER_BEN
bankra,CITY_BANKRA,Kolkata,CLUSTER_KOL
barrackpore rs,CITY_BARRACKPORE_RS,Kolkata,CLUSTER_KOL
bawana,CITY_BAWANA,Delhi NCR,CLUSTER_NCR
begampet,CITY_BEGAMPET,Hyderabad,CLUSTER_HYD
behala,CITY_BEHALA,Kolkata,CLUSTER_KOL
belapur,CITY_BELAPUR,Mumbai,CLUSTER_MUM
bhor,CITY_BHOR,Pune,CLUSTER_PUN
bidhannagar,CITY_BIDHANNAGAR,Kolkata,CLUSTER_KOL
boisar,CITY_BOISAR,Mumbai,CLUSTER_MUM
calcutta,CITY_CALCUTTA,Kolkata,CLUSTER_KOL
chandannagar,CITY_CHANDANNAGAR,Kolkata,CLUSTER_KOL
chandra,CITY_CHANDRA,Kolkata,CLUSTER_KOL
channapatna,CITY_CHANNAPATNA,Bangalore,CLUSTER_BEN
chattarpur,CITY_CHATTARPUR,Delhi NCR,CLUSTER_NCR
chinchwad,CITY_CHINCHWAD,Pune,CLUSTER_PUN
choolai,CITY_CHOOLAI,Chennai,CLUSTER_CHE
darya ganj,CITY_DARYA_GANJ,Delhi NCR,CLUSTER_NCR
faridabad city,CITY_FARIDABAD_CITY,Delhi NCR,CLUSTER_NCR
gautam buddha nagar,CITY_GAUTAM_BUDDHA_NAGAR,Delhi NCR,CLUSTER_NCR
ghansoli,CITY_GHANSOLI,Mumbai,CLUSTER_MUM
goregaon,CITY_GOREGAON,Mumbai,CLUSTER_MUM
halishahar,CITY_HALISHAHAR,Kolkata,CLUSTER_KOL
haripal,CITY_HARIPAL,Kolkata,CLUSTER_KOL
hooghly,CITY_HOOGHLY,Kolkata,CLUSTER_KOL
howrah,CITY_HOWRAH,Kolkata,CLUSTER_KOL
jangaon,CITY_JANGAON,Hyderabad,CLUSTER_HYD
jhajjar,CITY_JHAJJAR,Delhi NCR,CLUSTER_NCR
jharoda kalan,CITY_JHARODA_KALAN,Delhi NCR,CLUSTER_NCR
kalkaji,CITY_KALKAJI,Delhi NCR,CLUSTER_NCR
kalwa,CITY_KALWA,Mumbai,CLUSTER_MUM
kamarhati,CITY_KAMARHATI,Kolkata,CLUSTER_KOL
karol bagh,CITY_KAROL_BAGH,Delhi NCR,CLUSTER_NCR
khalapur,CITY_KHALAPUR,Mumbai,CLUSTER_MUM
khekra,CITY_KHEKRA,Delhi NCR,CLUSTER_NCR
khopoli,CITY_KHOPOLI,Mumbai,CLUSTER_MUM
kodambakkam,CITY_KODAMBAKKAM,Chennai,CLUSTER_CHE
konnagar,CITY_KONNAGAR,Kolkata,CLUSTER_KOL
loni kalbhor,CITY_LONI_KALBHOR,Pune,CLUSTER_PUN
magadi,CITY_MAGADI,Bangalore,CLUSTER_BEN
mahbubnagar,CITY_MAHBUBNAGAR,Hyderabad,CLUSTER_HYD
malad,CITY_MALAD,Mumbai,CLUSTER_MUM
mehrauli,CITY_MEHRAULI,Delhi NCR,CLUSTER_NCR
naihati,CITY_NAIHATI,Kolkata,CLUSTER_KOL
najafgarh,CITY_NAJAFGARH,Delhi NCR,CLUSTER_NCR
nandi,CITY_NANDI,Bangalore,CLUSTER_BEN
narela,CITY_NARELA,Delhi NCR,CLUSTER_NCR
navalur,CITY_NAVALUR,Chennai,CLUSTER_CHE
nelamangala,CITY_NELAMANGALA,Bangalore,CLUSTER_BEN
nimta,CITY_NIMTA,Kolkata,CLUSTER_KOL
nisa hakimpet,CITY_NISA_HAKIMPET,Hyderabad,CLUSTER_HYD
nungambakkam,CITY_NUNGAMBAKKAM,Chennai,CLUSTER_CHE
perambur,CITY_PERAMBUR,Chennai,CLUSTER_CHE
pimple,CITY_PIMPLE,Pune,CLUSTER_PUN
poonamallee,CITY_POONAMALLEE,Chennai,CLUSTER_CHE
rajgurunagar,CITY_RAJGURUNAGAR,Pune,CLUSTER_PUN
rishra,CITY_RISHRA,Kolkata,CLUSTER_KOL
samalkha,CITY_SAMALKHA,Delhi NCR,CLUSTER_NCR
sampla,CITY_SAMPLA,Delhi NCR,CLUSTER_NCR
sanpada,CITY_SANPADA,Mumbai,CLUSTER_MUM
santosh pur,CITY_SANTOSH_PUR,Kolkata,CLUSTER_KOL
sarada,CITY_SARADA,Kolkata,CLUSTER_KOL
sarjapur,CITY_SARJAPUR,Bangalore,CLUSTER_BEN
sector 4,CITY_SECTOR_4,Delhi NCR,CLUSTER_NCR
serampore,CITY_SERAMPORE,Kolkata,CLUSTER_KOL
sewri,CITY_SEWRI,Mumbai,CLUSTER_MUM
shahdara,CITY_SHAHDARA,Delhi NCR,CLUSTER_NCR
shirwal,CITY_SHIRWAL,Pune,CLUSTER_PUN
sidlaghatta,CITY_SIDLAGHATTA,Bangalore,CLUSTER_BEN
sikandrabad,CITY_SIKANDRABAD,Delhi NCR,CLUSTER_NCR
sohna,CITY_SOHNA,Delhi NCR,CLUSTER_NCR
subhas gram,CITY_SUBHAS_GRAM,Kolkata,CLUSTER_KOL
sultanganj,CITY_SULTANGANJ,Kolkata,CLUSTER_KOL
talegaon dabhade,CITY_TALEGAON_DABHADE,Pune,CLUSTER_PUN
tardeo,CITY_TARDEO,Mumbai,CLUSTER_MUM
teynampet,CITY_TEYNAMPET,Chennai,CLUSTER_CHE
trombay,CITY_TROMBAY,Mumbai,CLUSTER_MUM
tumkur,CITY_TUMKUR,Bangalore,CLUSTER_BEN
ulhasnagar,CITY_ULHASNAGAR,Mumbai,CLUSTER_MUM
uluberia,CITY_ULUBERIA,Kolkata,CLUSTER_KOL
uttarpara,CITY_UTTARPARA,Kolkata,CLUSTER_KOL
